id,category,item,price,front,back,mnemonic,eru,rust_token,expected_price,actual_price,variance,compression_ratio
141,Beer Bottle,Michelob Gold Bottle,6,What is the price of Michelob Gold Bottle?,$6 — Beer Bottle,Michelob Gold Bottle 6 — Beer Bottle locked in the drop,PASS,michelob_gold_bottle,6,6,0,1
142,Beer Bottle,Coors Light Bottle,5,What is the price of Coors Light Bottle?,$5 — Beer Bottle,Coors Light Bottle 5 — Beer Bottle locked in the drop,PASS,coors_light_bottle,5,5,0,1
143,Beer Bottle,Bud Light Bottle,5,What is the price of Bud Light Bottle?,$5 — Beer Bottle,Bud Light Bottle 5 — Beer Bottle locked in the drop,PASS,bud_light_bottle,5,5,0,1
144,Beer Bottle,Budweiser Bottle,5,What is the price of Budweiser Bottle?,$5 — Beer Bottle,Budweiser Bottle 5 — Beer Bottle locked in the drop,PASS,budweiser_bottle,5,5,0,1
145,Beer Bottle,Heineken Bottle,7,What is the price of Heineken Bottle?,$7 — Beer Bottle,Heineken Bottle 7 — Beer Bottle locked in the drop,PASS,heineken_bottle,7,7,0,1
146,Beer Bottle,Lonestar Bottle,5,What is the price of Lonestar Bottle?,$5 — Beer Bottle,Lonestar Bottle 5 — Beer Bottle locked in the drop,PASS,lonestar_bottle,5,5,0,1
147,Beer Bottle,Corona Extra Bottle,6,What is the price of Corona Extra Bottle?,$6 — Beer Bottle,Corona Extra Bottle 6 — Beer Bottle locked in the drop,PASS,corona_extra_bottle,6,6,0,1
148,Beer Bottle,Corona Premier Bottle,7,What is the price of Corona Premier Bottle?,$7 — Beer Bottle,Corona Premier Bottle 7 — Beer Bottle locked in the drop,PASS,corona_premier_bottle,7,7,0,1
149,Beer Bottle,Stella Artois Bottle,8,What is the price of Stella Artois Bottle?,$8 — Beer Bottle,Stella Artois Bottle 8 — Beer Bottle locked in the drop,PASS,stella_artois_bottle,8,8,0,1
150,Beer Bottle,Heineken N.A. Bottle,6,What is the price of Heineken N.A. Bottle?,$6 — Beer Bottle,Heineken N.A. Bottle 6 — Beer Bottle locked in the drop,PASS,heineken_n.a._bottle,6,6,0,1
151,Desserts,Brownie à la Mode,9,What is the price of Brownie à la Mode?,$9 — Desserts,Brownie à la Mode 9 — Desserts locked in the drop,PASS,brownie_a_la_mode,9,9,0,1
152,Desserts,Key Lime Pie,11,What is the price of Key Lime Pie?,$11 — Desserts,Key Lime Pie 11 — Desserts locked in the drop,PASS,key_lime_pie,11,11,0,1
153,Desserts,New York Cheesecake,12,What is the price of New York Cheesecake?,$12 — Desserts,New York Cheesecake 12 — Desserts locked in the drop,PASS,new_york_cheesecake,12,12,0,1
154,Desserts,Seasonal Cheesecake,12,What is the price of Seasonal Cheesecake?,$12 — Desserts,Seasonal Cheesecake 12 — Desserts locked in the drop,PASS,seasonal_cheesecake,12,12,0,1
