Front,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
Pear Martini,"$32 — mains | sautéed spinach, bacon, parmesan, garlic cream","$24 — mains | sautéed spinach, bacon, parmesan, garlic cream, rice pilaf","$12 — cocktails | vodka, amaretto, sweet and sour",$3 — a_la_carte,"$12 — cocktails | vodka, amaretto, sweet and sour"
Frozen Margarita,"$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf","$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese",$36 — oysters_raw,"$9 — cocktails | reposado, lime, add strawberry +2","$9 — cocktails | reposado, lime, add strawberry +2"
Pina Colada,"Port Aransas, TX (oyster)","$12 — cocktails | rum, pineapple, coconut, ice cream",$8 — beer_draught,"$10 — sushi | spicy tuna mix, cucumber, spicy mayo","$12 — cocktails | rum, pineapple, coconut, ice cream"
Nueces Lager,"$16 — appetizers | fried peppers, veggies, lemon, remoulade",$8 — beer_draught,$5 — beer_bottle,"$16 — soups_salads | chopped romaine, homemade caesar",$8 — beer_draught
Nueces Hefeweizen,$8 — beer_draught,"$12 — brunch_cocktails | vodka, cucumber, lime","$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha","$12 — cocktails | vodka, house made bloody mary mix",$8 — beer_draught
Nueces Supremo,"$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce",$8 — beer_draught,"$14 — cocktails | vodka, kahlua, cold brew","$12 — cocktails | rum, pineapple, coconut, ice cream",$8 — beer_draught
Rebel Toad IPA,$6 — beer_draught,$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp,"$13 — brunch_cocktails | orange liqueur, prosecco, soda","Aransas Bay, TX (oyster)",$6 — beer_draught
Rebel Toad Bionic Blonde,"$13 — appetizers | beer-battered, remoulade","$20 — mains | creole spices, tomato, green onion",$6 — beer_draught,"$9 — sushi | tempura shrimp, cucumber, avocado, crunchies",$6 — beer_draught
Dos Equis Lager,$3 — a_la_carte,$7 — beer_draught,"$13 — cocktails | anejo tequila, orange liqueur, presidente","$45 — mains | crab, crawfish nueces",$7 — beer_draught
Modelo Especial,"$16 — soups_salads | chopped romaine, homemade caesar",$7 — beer_draught,"Cape Cod, MA (oyster)","$14 — brunch_cocktails | st germain, prosecco, mint",$7 — beer_draught
St. Arnold Art Car,"$18 — appetizers | picayune, lemon","$13 — appetizers | beer-battered, remoulade","$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf",$8 — beer_draught,$8 — beer_draught
Shiner Bock,"$13 — appetizers | beer-battered, remoulade","$14 — brunch_cocktails | st germain, prosecco, mint",$7 — beer_draught,$8 — beer_draught,$7 — beer_draught
Michelob Ultra,"$12 — cocktails | rum, pineapple, coconut, ice cream","$10 — sushi | spicy tuna mix, cucumber, spicy mayo","$45 — mains | crab, crawfish nueces",$7 — beer_draught,$7 — beer_draught
Miller Lite Pilsner,"$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce",$6 — beer_bottle,$6 — beer_draught,$8 — beer_draught,$6 — beer_draught
Dos Equis,$5 — beer_bottle,"$27 — appetizers | saltine-crusted, remoulade",$6 — beer_bottle,$8 — beer_draught,$6 — beer_bottle
Michelob Gold,"$48 — mains | olive, tomato, onion, jalapeño, caper","$9 — cocktails | reposado, lime, add strawberry +2",New Brunswick (oyster),$6 — beer_bottle,$6 — beer_bottle
Coors Light,$5 — beer_bottle,"$9 — soups_salads | chicken breast, lime, avocado, homemade broth","$9 — sushi | tempura shrimp, cucumber, avocado, crunchies","$14 — brunch_cocktails | cognac, champagne, lemon",$5 — beer_bottle
Bud Light,$7 — beer_draught,"$12 — brunch_cocktails | vodka, amaretto, cherry",$5 — beer_bottle,"$8 — sushi | avocado, cream cheese, cucumber",$5 — beer_bottle
Budweiser,$5 — beer_bottle,"$12 — cocktails | vodka, house made bloody mary mix",$8 — a_la_carte,Prince Edward Island (oyster),$5 — beer_bottle
Heineken,"$11 — appetizers | cornmeal-dusted, remoulade",$3 — a_la_carte,$7 — beer_bottle,"$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream",$7 — beer_bottle
Lonestar,"$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato","$13 — sushi | shrimp, mango, cucumber, roasted red bell pepper, toasted coconut, cilantro","$48 — mains | olive, tomato, onion, jalapeño, caper",$5 — beer_bottle,$5 — beer_bottle
Corona Extra,"$35 — mains | 5oz catch of the day, shrimp harpoon, crab cake, remoulade",$6 — beer_bottle,"$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun","$32 — mains | sautéed spinach, bacon, parmesan, garlic cream",$6 — beer_bottle
Corona Premier,$7 — beer_bottle,"$27 — appetizers | saltine-crusted, remoulade","$13 — appetizers | beer-battered, remoulade",$5 — beer_bottle,$7 — beer_bottle
Stella Artois,$7 — beer_draught,"$19 — soups_salads | corn, black beans, tortilla strips, honey chipotle vinaigrette","$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce",$8 — beer_bottle,$8 — beer_bottle
Heineken N.A.,"Port Aransas, TX (oyster)",$6 — beer_bottle,"$11 — cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit",New Brunswick (oyster),$6 — beer_bottle
